"Date","Close","1DayPercentMove","2DayPercentMove","3DayPercentMove","4DayPercentMove","5DayPercentMove","6DayPercentMove","7DayPercentMove","8DayPercentMove","9DayPercentMove","10DayPercentMove","11DayPercentMove","12DayPercentMove","13DayPercentMove","14DayPercentMove","15DayPercentMove","16DayPercentMove","17DayPercentMove","18DayPercentMove","19DayPercentMove","20DayPercentMove","50DayPercentMove","100DayPercentMove","200DayPercentMove","10DayAutoCor","20DayAutoCor","50DayAutoCor","100DayAutoCor","1DayATR","2DayATR","5DayATR","10DayATR","20DayATR","50DayATR","100DayATR","1DayMAD","2DayMAD","3DayMAD","5DayMAD","10DayMAD","20DayMAD","50DayMAD","100DayMAD","200DayMAD","20DayMA","50DayMA","100DayMA","20DayDMA","50DayDMA","100DayDMA"
2014-05-19,1882.25,0.4,0.8033,-0.1591,-0.6335,-0.5548,0.467,0.5341,0.4268,0.9655,0.3465,0.4134,0.2397,0.2263,0.561,0.8708,1.196,0.4939,0.4939,0.4402,0.952,0.2263,3.264,10.7,0.2204,0.9406,0.8485,0.9902,15.875,30,39.5,43,71.875,125.375,183.125,0.42,0.346,0.446,0.946,0.808,1.722,7.098,14.11,18.97,1875.225,1863.135,1842.63,0.3746,1.026,2.1502
2014-05-16,1874.75,0.4017,-0.557,-1.029,-0.951,0.06672,0.1335,0.02668,0.5632,-0.05331,0.01334,-0.1598,-0.1731,0.1603,0.4689,0.793,0.09343,0.09343,0.04002,0.5498,0.9015,-0.07995,3.412,11.56,-0.4779,0.4899,0.8411,0.9878,22,22.875,34.875,43,71.875,122.125,177.375,0.59,0.376,0.568,0.464,0.988,1.846,6.838,14.112,19.186,1874.3375,1863.05,1842.035,0.022,0.628,1.776
2014-05-15,1867.25,-0.9548,-1.425,-1.347,-0.3336,-0.2671,-0.3735,0.1609,-0.4532,-0.3868,-0.5592,-0.5724,-0.2404,0.06699,0.3898,-0.307,-0.307,-0.3602,0.1475,0.4978,0.7826,-0.2804,3.248,10.83,-0.8701,0.3697,0.7217,0.9867,22.25,31.375,35.5,41.375,71.875,119.375,177.375,0.52,0.348,0.572,0.328,1.016,1.842,6.73,13.726,18.686,1873.5,1863.08,1841.4164,-0.3336,0.2238,1.4029
2014-05-14,1885.25,-0.4751,-0.3962,0.6272,0.6944,0.5869,1.126,0.5065,0.5735,0.3994,0.386,0.7213,1.032,1.358,0.654,0.654,0.6003,1.113,1.467,1.754,2.487,0.7347,4.114,12.05,-0.3031,0.0837,0.7693,0.9914,10.75,23.875,33.75,43,73.625,119,177.25,0.356,0.356,0.48,0.816,1.37,1.878,7.09,14.014,18.974,1872.775,1863.185,1840.8289,0.6661,1.1843,2.4131
2014-05-13,1894.25,0.07925,1.108,1.175,1.067,1.609,0.9863,1.054,0.8787,0.8653,1.202,1.514,1.841,1.134,1.134,1.081,1.596,1.951,2.24,2.976,3.823,2.781,6.463,12.32,-0.0253,-0.0979,0.8753,0.9939,13.25,23.375,34.75,58.625,89.25,114.875,177.125,0.348,0.334,0.644,1.098,1.396,2.152,6.84,13.702,19.038,1870.4875,1862.91,1840.0839,1.2704,1.6823,2.9437
2014-05-12,1892.75,1.027,1.095,0.9871,1.529,0.9063,0.9736,0.7988,0.7854,1.122,1.434,1.761,1.054,1.054,1,1.515,1.87,2.159,2.895,3.741,4.471,1.898,5.947,12.4,0.0104,-0.4979,0.9162,0.9919,16.25,30.875,32.5,59.375,88,112.625,174.875,0.316,0.364,0.744,1.23,1.274,1.946,7.006,13.638,18.428,1867,1861.885,1838.9339,1.3792,1.6577,2.9265
2014-05-09,1873.5,0.06677,-0.04002,0.4962,-0.12,-0.05335,-0.2263,-0.2396,0.0935,0.4019,0.7258,0.0267,0.0267,-0.02668,0.4827,0.8342,1.12,1.848,2.686,3.408,2.545,1.052,5.564,11.27,0.2536,-0.0487,0.8696,0.9852,16.125,24.625,36.125,60.625,75.75,107,174.125,0.132,0.25,0.534,0.688,0.93,1.878,7.066,13.368,18.338,1862.95,1861.18,1837.8714,0.5663,0.6619,1.9386
2014-05-08,1872.25,-0.1067,0.4291,-0.1866,-0.12,-0.2929,-0.3062,0.02671,0.3349,0.6586,-0.04004,-0.04004,-0.09338,0.4157,0.767,1.052,1.78,2.617,3.339,2.477,0.4022,1.642,5.479,10.9,-0.1317,0.7454,0.9049,0.977,20.5,25.625,35.125,60.625,72.375,107,174.125,0.126,0.232,0.674,0.326,1.046,2.324,6.96,13.548,18.53,1860.625,1860.79,1836.8839,0.6248,0.6159,1.9253
2014-05-07,1874.25,0.5364,-0.07997,-0.01334,-0.1864,-0.1997,0.1336,0.4421,0.7661,0.06674,0.06674,0.01334,0.5229,0.8746,1.16,1.889,2.727,3.45,2.586,0.5094,1.585,1.517,5.251,10.89,-0.064,-0.0795,0.9123,0.974,20.5,26.25,35,59.75,72.375,107,174.125,0.202,0.292,0.73,0.852,1.104,2.346,7.094,13.912,18.92,1860.25,1860.185,1835.9114,0.7526,0.7561,2.0883
2014-05-06,1864.25,-0.6131,-0.5468,-0.719,-0.7322,-0.4007,-0.09378,0.2285,-0.4672,-0.4672,-0.5203,-0.01341,0.3364,0.6207,1.346,2.179,2.898,2.039,-0.02681,1.043,1.428,0.9886,3.397,10.34,-0.3687,-0.2819,0.8224,0.9445,19.625,17.75,32,58.75,72.375,107,174.125,0.28,0.452,0.516,1,1.028,2,7.288,14.524,19.486,1858.7875,1859.625,1834.9764,0.2939,0.2487,1.5953
